Class,1 Hr Diff,2 Hr Diff,3 Hr Diff,4 Hr Diff,5 Hr Diff,6 Hr Diff,7 Hr Diff,7 Hr MA,Compound Score,Positive Score,Neutral Score,Negative Score
-1,-42.37999999999738,66.70999999999913,1779.8600000000006,1873.310000000005,1873.310000000005,1996.4400000000023,1976.3899999999994,42320.15142857143,0.9998,0.89,0.11,0.0
1,451.18999999999505,451.18999999999505,408.8099999999977,517.8999999999942,2231.0499999999956,2324.5,2324.5,42937.42857142857,0.9999,0.769,0.224,0.007
-1,-19.119999999995343,432.0699999999997,432.0699999999997,389.6900000000023,498.77999999999884,2211.9300000000003,2305.3800000000047,43266.76857142857,0.9999,0.598,0.4,0.002
-1,-477.5400000000009,-496.6599999999962,-45.470000000001164,-45.470000000001164,-87.84999999999854,21.239999999997963,1734.3899999999994,43514.53857142857,0.9998,0.854,0.142,0.004
1,651.9000000000015,174.36000000000058,155.24000000000524,606.4300000000003,606.4300000000003,564.0500000000029,673.1399999999994,43610.70142857143,0.9998,0.825,0.171,0.003
-1,-1497.3600000000006,-845.4599999999991,-1323.0,-1342.1199999999953,-890.9300000000003,-890.9300000000003,-933.3099999999977,43477.37142857143,0.9998,0.815,0.182,0.003
1,949.5400000000009,-547.8199999999997,104.08000000000175,-373.4599999999991,-392.57999999999447,58.61000000000058,58.61000000000058,43485.74428571429,0.9998,0.808,0.192,0.0
-1,-13.740000000005239,935.7999999999956,-561.560000000005,90.33999999999651,-387.20000000000437,-406.3199999999997,44.86999999999534,43492.154285714285,0.9997,0.831,0.169,0.0
-1,-263.8099999999977,-277.5500000000029,671.989999999998,-825.3700000000026,-173.47000000000116,-651.010000000002,-670.1299999999974,43396.42142857143,0.9998,0.857,0.139,0.003
1,283.16999999999825,19.360000000000582,5.619999999995343,955.1599999999962,-542.2000000000044,109.69999999999709,-367.8400000000038,43343.87285714286,0.9995,0.797,0.203,0.0
-1,-77.47999999999593,205.69000000000233,-58.11999999999534,-71.86000000000058,877.6800000000003,-619.6800000000003,32.220000000001164,43348.47571428572,0.9997,0.823,0.171,0.007
-1,-1144.2099999999991,-1221.689999999995,-938.5199999999968,-1202.3299999999945,-1216.0699999999997,-266.52999999999884,-1763.8899999999994,43096.491428571426,0.9998,0.853,0.144,0.003
1,166.25,-977.9599999999991,-1055.439999999995,-772.2699999999968,-1036.0799999999945,-1049.8199999999997,-100.27999999999884,43082.16571428571,0.9998,0.859,0.141,0.0
1,1604.8899999999994,1771.1399999999994,626.9300000000003,549.4500000000044,832.6200000000026,568.810000000005,555.0699999999997,43161.46142857143,0.9998,0.83,0.166,0.005
-1,-427.7300000000032,1177.1599999999962,1343.4099999999962,199.1999999999971,121.72000000000116,404.8899999999994,141.08000000000175,43181.61571428571,0.9997,0.787,0.21,0.002
-1,-146.0,-573.7300000000032,1031.1599999999962,1197.4099999999962,53.19999999999709,-24.279999999998836,258.8899999999994,43218.59999999999,0.9997,0.843,0.157,0.0
-1,-877.5400000000009,-877.5400000000009,-1023.5400000000009,-1451.270000000004,153.61999999999534,319.86999999999534,-824.3400000000038,43097.36857142857,0.9998,0.836,0.155,0.008
-1,-142.2699999999968,-1019.8099999999977,-1019.8099999999977,-1165.8099999999977,-1593.5400000000009,11.349999999998545,177.59999999999854,43122.73999999999,0.9998,0.812,0.176,0.012
1,142.2699999999968,0.0,-877.5400000000009,-877.5400000000009,-1023.5400000000009,-1451.270000000004,153.61999999999534,43144.685714285704,1.0,0.897,0.095,0.008
-1,-99.57999999999447,42.69000000000233,-99.57999999999447,-977.1199999999953,-977.1199999999953,-1123.1199999999953,-1550.8499999999985,42923.13571428571,0.9999,0.84,0.152,0.007
-1,-261.1800000000003,-360.75999999999476,-218.48999999999796,-360.75999999999476,-1238.2999999999956,-1238.2999999999956,-1384.2999999999956,42725.378571428555,0.9998,0.866,0.131,0.003
-1,-182.72000000000116,-443.90000000000146,-543.4799999999959,-401.2099999999991,-543.4799999999959,-1421.0199999999968,-1421.0199999999968,42522.3757142857,0.9993,0.837,0.163,0.0
1,51.12999999999738,-131.59000000000378,-392.7700000000041,-492.34999999999854,-350.08000000000175,-492.34999999999854,-1369.8899999999994,42326.67714285712,0.9998,0.858,0.142,0.0
