Class,1 Hr Diff,2 Hr Diff,3 Hr Diff,4 Hr Diff,5 Hr Diff,6 Hr Diff,7 Hr Diff,7 Hr MA,Compound Score,Positive Score,Neutral Score,Negative Score
1,93.45000000000437,216.58000000000175,216.58000000000175,216.58000000000175,0.0,0.0,196.52999999999884,41512.3,0.9999,0.933,0.057,0.01
1,2211.9300000000003,2305.3800000000047,2428.510000000002,2428.510000000002,2428.510000000002,2211.9300000000003,2211.9300000000003,41828.29,0.9998,0.871,0.121,0.009
-1,-445.3199999999997,1766.6100000000006,1860.060000000005,1983.1900000000023,1983.1900000000023,1983.1900000000023,1766.6100000000006,42080.66285714286,0.9998,0.904,0.096,0.0
1,619.6800000000003,619.6800000000003,174.36000000000058,2386.290000000001,2479.7400000000052,2602.8700000000026,2602.8700000000026,42735.81428571429,0.9998,0.888,0.109,0.003
-1,-155.24000000000524,464.43999999999505,464.43999999999505,19.119999999995343,2231.0499999999956,2324.5,2447.6299999999974,43085.47571428572,0.9999,0.886,0.106,0.008
-1,-19.119999999995343,-174.36000000000058,445.3199999999997,445.3199999999997,0.0,2211.9300000000003,2305.3800000000047,43414.815714285716,0.9999,0.916,0.084,0.0
-1,-373.4599999999991,-392.57999999999447,-547.8199999999997,71.86000000000058,71.86000000000058,-373.4599999999991,1838.4700000000012,43677.454285714295,1.0,0.887,0.107,0.006
-1,-125.31999999999971,-498.77999999999884,-517.8999999999942,-673.1399999999994,-53.45999999999913,-53.45999999999913,-498.77999999999884,43606.200000000004,0.9999,0.945,0.05,0.005
1,66.70999999999913,66.70999999999913,-58.61000000000058,-432.0699999999997,-451.18999999999505,-606.4300000000003,13.25,43600.455714285716,0.9999,0.909,0.087,0.004
1,44.86999999999534,111.57999999999447,111.57999999999447,-13.740000000005239,-387.20000000000437,-406.3199999999997,-561.560000000005,43520.23285714286,0.9998,0.928,0.069,0.003
1,19.360000000000582,64.22999999999593,130.93999999999505,130.93999999999505,5.619999999995343,-367.8400000000038,-386.9599999999991,43464.95285714285,0.9998,0.907,0.07,0.023
-1,-283.16999999999825,-263.8099999999977,-218.94000000000233,-152.2300000000032,-152.2300000000032,-277.5500000000029,-651.010000000002,43371.951428571425,0.9994,0.915,0.074,0.011
1,261.3199999999997,-21.849999999998545,-2.4899999999979627,42.37999999999738,109.08999999999651,109.08999999999651,-16.2300000000032,43369.63285714285,0.9997,0.889,0.09,0.021
-1,-87.84999999999854,173.47000000000116,-109.69999999999709,-90.33999999999651,-45.470000000001164,21.239999999997963,21.239999999997963,43372.66714285714,0.9998,0.893,0.107,0.0
1,90.33999999999651,2.4899999999979627,263.8099999999977,-19.360000000000582,0.0,44.86999999999534,111.57999999999447,43388.607142857145,0.9994,0.903,0.097,0.0
-1,-935.7999999999956,-845.4599999999991,-933.3099999999977,-671.989999999998,-955.1599999999962,-935.7999999999956,-890.9300000000003,43261.33142857143,0.9999,0.885,0.098,0.017
-1,-439.01000000000204,-1374.8099999999977,-1284.4700000000012,-1372.3199999999997,-1111.0,-1394.1699999999983,-1374.8099999999977,43064.93,0.9998,0.907,0.093,0.0
1,1369.8899999999994,930.8799999999974,-4.919999999998254,85.41999999999825,-2.430000000000291,258.8899999999994,-24.279999999998836,43061.461428571434,1.0,0.913,0.082,0.005
-1,-877.5400000000009,-877.5400000000009,492.34999999999854,53.33999999999651,-882.4599999999991,-792.1200000000026,-879.9700000000012,42972.73571428571,0.9999,0.879,0.116,0.005
-1,-142.2699999999968,-1019.8099999999977,-1019.8099999999977,350.08000000000175,-88.93000000000029,-1024.729999999996,-934.3899999999994,42839.25142857143,0.9999,0.921,0.075,0.004
-1,-11.349999999998545,-153.61999999999534,-1031.1599999999962,-1031.1599999999962,338.7300000000032,-100.27999999999884,-1036.0799999999945,42691.24,0.9998,0.869,0.126,0.006
1,1177.1599999999962,1165.8099999999977,1023.5400000000009,146.0,146.0,1515.8899999999994,1076.8799999999974,42845.079999999994,0.9997,0.941,0.054,0.004
-1,-1384.2999999999956,-207.13999999999942,-218.48999999999796,-360.75999999999476,-1238.2999999999956,-1238.2999999999956,131.59000000000378,42863.878571428555,0.9998,0.938,0.062,0.0
1,1812.0299999999988,427.7300000000032,1604.8899999999994,1593.5400000000009,1451.270000000004,573.7300000000032,573.7300000000032,42945.83999999998,0.9998,0.914,0.08,0.006
